Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI
2017-11-27 14:11:30.430,-71.3,-28.2,-74.3,22.7,22.6,2/0,Application thrpt,42612.8,42612.8,42612.8,105579
2017-11-27 14:11:30.960,-71.7,-23.5,-80.2,23.5,23.9,2/0,Application thrpt,42612.8,42612.8,42612.8,105579
2017-11-27 14:11:31.90,-71.7,-23.5,-80.2,23.5,23.9,2/0,Application thrpt,42612.8,42612.8,42612.8,125410
2017-11-27 14:11:31.480,-70.1,-25.7,-69.3,24,23.5,2/0,Application thrpt,42612.8,42612.8,42612.8,125410
2017-11-27 14:11:31.985,-72.5,-23.2,-80.5,23.1,23.1,2/0,Application thrpt,42612.8,42612.8,42612.8,125410
2017-11-27 14:11:32.485,-72.5,-27.5,-77.7,22.8,22.3,2/0,Application thrpt,42612.8,42612.8,42612.8,125410
2017-11-27 14:11:32.985,-71.5,-24.8,-75.5,21.5,21.2,2/0,Application thrpt,42612.8,42612.8,42612.8,125410
2017-11-27 14:11:33.125,-71.5,-24.8,-75.5,21.5,21.2,2/0,Application thrpt,42612.8,42612.8,42612.8,119091
2017-11-27 14:11:33.480,-73.9,-28.2,-85.2,15.3,15.6,2/0,Application thrpt,42612.8,42612.8,42612.8,119091
2017-11-27 14:11:33.980,-74.6,-28,-88.9,21.3,21.2,2/0,Application thrpt,42612.8,42612.8,42612.8,119091
2017-11-27 14:11:34.510,-71,-24.9,-69.9,23.2,23.2,2/0,Application thrpt,42612.8,42612.8,42612.8,119091
2017-11-27 14:11:34.920,-68,-28,-62.7,23.6,23.6,2/0,Application thrpt,42612.8,42612.8,42612.8,119091
2017-11-27 14:11:35.115,-68,-28,-62.7,23.6,23.6,2/0,Application thrpt,42612.8,42612.8,42612.8,118503
2017-11-27 14:11:35.510,-68.3,-24.6,-64.5,23.9,23.8,2/0,Application thrpt,42612.8,42612.8,42612.8,118503
2017-11-27 14:11:36.25,-70.7,-28.1,-72.7,23.1,22.4,2/0,Application thrpt,42612.8,42612.8,42612.8,118503
