Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI
2018-01-03 00:44:23.855,-103.2,-0.4,-104.4,15.6,10.2,2/0,RTT,79,79,79,0
2018-01-03 00:44:24.150,-103.3,-2.8,-99.6,14,9.1,2/0,RTT,79,79,79,0
2018-01-03 00:44:24.865,-103.3,-2.9,-100.7,12.6,8.2,2/0,RTT,79,79,79,0
2018-01-03 00:44:24.920,-103.3,-2.9,-100.7,12.6,8.2,2/0,RTT,79,79,79,91
2018-01-03 00:44:25.175,-103.3,-2.7,-102.2,13.7,9.1,2/0,RTT,79,79,79,91
2018-01-03 00:44:25.775,-103.3,-5.6,-87.3,13.6,8.7,2/0,RTT,79,79,79,91
2018-01-03 00:44:25.930,-103.3,-5.6,-87.3,13.6,8.7,2/0,RTT,79,79,79,90
2018-01-03 00:44:26.410,-103.4,-5.4,-79.9,13.4,8.7,2/0,RTT,79,79,79,90
2018-01-03 00:44:26.930,-103.4,-5.4,-79.9,13.4,8.7,2/0,RTT,79,79,79,89
2018-01-03 00:44:27.110,-103.3,-3.2,-100,13.9,9,2/0,RTT,79,79,79,89
2018-01-03 00:44:27.705,-103.1,-2,-100.1,14.2,8.9,2/0,RTT,79,79,79,89
2018-01-03 00:44:27.940,-103.1,-2,-100.1,14.2,8.9,2/0,RTT,79,79,79,88
2018-01-03 00:44:28.160,-103.2,-2,-100.1,14.4,9.5,2/0,RTT,79,79,79,88
2018-01-03 00:44:28.785,-103,-1.8,-100.3,15,9.9,2/0,RTT,79,79,79,88
2018-01-03 00:44:28.925,-103,-1.8,-100.3,15,9.9,2/0,RTT,79,79,79,86
2018-01-03 00:44:29.270,-103.1,-2.4,-99.2,13.5,9,2/0,RTT,79,79,79,86
2018-01-03 00:44:29.750,-103.1,-1.1,-103.2,14.7,9.8,2/0,RTT,79,79,79,86
2018-01-03 00:44:30.265,-103.1,-2.6,-98.9,14.4,9.4,2/0,RTT,79,79,79,86
2018-01-03 00:44:30.785,-103.1,-4.3,-97.2,13.5,8.9,2/0,RTT,79,79,79,86
2018-01-03 00:44:30.920,-103.1,-4.3,-97.2,13.5,8.9,2/0,RTT,79,79,79,83
2018-01-03 00:44:31.185,-103.1,-3.2,-98.9,14,8.9,2/0,RTT,79,79,79,83
2018-01-03 00:44:31.960,-103.1,-3.2,-98.9,14,8.9,2/0,RTT,79,79,79,101
2018-01-03 00:44:32.0,-103.1,-2.1,-100.1,13.3,9.2,2/0,RTT,79,79,79,101
2018-01-03 00:44:32.215,-103.1,-0.9,-103.6,14.3,9.9,2/0,RTT,79,79,79,101
2018-01-03 00:44:32.930,-103.1,-0.9,-103.6,14.3,9.9,2/0,RTT,79,79,79,80
2018-01-03 00:44:32.990,-102.5,-2.7,-97.7,13.1,8.4,2/0,RTT,79,79,79,80
2018-01-03 00:44:33.420,-101.9,-5.4,-80.7,12.8,8.7,2/0,RTT,79,79,79,80
2018-01-03 00:44:33.910,-101.9,-5.4,-80.7,12.8,8.7,2/0,RTT,79,79,79,39
2018-01-03 00:44:33.910,-101.9,-5.4,-80.7,12.8,8.7,2/0,RTT,79,83,81,0
2018-01-03 00:44:33.925,-101.9,-5.4,-80.7,12.8,8.7,3/0,RTT,79,83,81,0
2018-01-03 00:44:33.975,-103.3,-23,-81.9,10.7,11.4,3/0,RTT,79,83,81,0
2018-01-03 00:44:34.560,-103.8,-6.8,-89.1,10.6,11.2,3/0,RTT,79,83,81,0
2018-01-03 00:44:34.910,-103.8,-6.8,-89.1,10.6,11.2,3/0,RTT,79,83,81,77
2018-01-03 00:44:35.130,-107.1,-3.3,-105.9,7.8,11.7,3/0,RTT,79,83,81,77
2018-01-03 00:44:35.705,-101.3,-2.3,-93,14.9,7,3/0,RTT,79,83,81,77
2018-01-03 00:44:35.940,-101.3,-2.3,-93,14.9,7,3/0,RTT,79,83,81,76
2018-01-03 00:44:36.305,-101.6,-2,-95.8,12.9,4.4,3/0,RTT,79,83,81,76
2018-01-03 00:44:36.935,-101.6,-2,-95.8,12.9,4.4,3/0,RTT,79,83,81,95
2018-01-03 00:44:37.55,-105.9,-5.5,-99.5,10.6,1.8,3/0,RTT,79,83,81,95
2018-01-03 00:44:37.585,-106.5,-16.6,-98,7.5,4.9,3/0,RTT,79,83,81,95
2018-01-03 00:44:37.885,-106.5,-16.6,-98,7.5,4.9,3/0,RTT,79,83,81,53
