Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],RSRP Rx[0],RSRQ Rx[0],RSSI Rx[0],RSRP Rx[1],RSRQ Rx[1],RSSI Rx[1],Bandwidth,Num of Subframes,Avg RB count,Average TB Size,Num of TBs,Tx Antennas,Num Pass 1st Attempt,Num of Recombined,Average MCS Index,Num QPSK (LTE DL),Num 16QAM (LTE DL),Num 64QAM (LTE DL),Number of carriers DL,Num 256QAM (LTE DL),Num ACKs,Num NACKs,QPSK Rate,16-QAM Rate,64-QAM Rate,256-QAM Rate,Reporting Mode,CQI0/CQI1,BLER,Bytes Transferred,Sched Thrpt,PDSCH Thrpt,Test KPI type,Test KPI avg,Test KPI worst,Test KPI best,Test KPI last,Intermediate KPI,IP Thrpt DL,Num of New TBs
2018-01-18 19:58:34.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18 19:58:34.865,-103.8,-13.9,-71.1,15.5,13.7,-104.1,-11.8,-73.6,-103.8,-13.9,-71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18 19:58:35.410,-103.8,-13.9,-71.1,15.5,13.7,-104.1,-11.8,-73.6,-103.8,-13.9,-71.1,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
2018-01-18 19:58:35.450,-102.7,-11.8,-72.1,21.2,17.4,-102.7,-11.8,-72.1,-107.1,-14.3,-74.1,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
2018-01-18 19:58:35.460,-102.7,-11.8,-72.1,21.2,17.4,-102.7,-11.8,-72.1,-107.1,-14.3,-74.1,,,,,,,,,,,,,,,1,0,,,,,3,11.0 / 0.0,,,,,,,,,,,,
2018-01-18 19:58:35.665,-102.7,-11.8,-72.1,21.2,17.4,-102.7,-11.8,-72.1,-107.1,-14.3,-74.1,,,,,,,,,,,,,1,,1,0,,,,,3,11.0 / 0.0,,,,,,,,,,,,
2018-01-18 19:58:35.665,-102.7,-11.8,-72.1,21.2,17.4,-102.7,-11.8,-72.1,-107.1,-14.3,-74.1,,19,19,852.4,29,,25,0,9.2,15.0,2.0,12.0,1,12.0,1,0,51.7,6.9,41.4,0.0,3,11.0 / 0.0,0.0,24720,10164,10164,,,,,,,,25
2018-01-18 19:58:35.865,-102.7,-11.8,-72.1,21.2,17.4,-102.7,-11.8,-72.1,-107.1,-14.3,-74.1,,19,19,852.4,29,,25,0,9.2,15.0,2.0,12.0,1,12.0,1,0,51.7,6.9,41.4,0.0,3,11.0 / 0.0,0.0,24720,10164,10164,,,,,,,3535,25
2018-01-18 19:58:35.905,-102.7,-11.8,-72.1,21.2,17.4,-102.7,-11.8,-72.1,-107.1,-14.3,-74.1,,19,19,852.4,29,,25,0,9.2,15.0,2.0,12.0,1,12.0,136,1,51.7,6.9,41.4,0.0,3,11.0 / 0.0,0.0,24720,10164,10164,,,,,,,3535,25
2018-01-18 19:58:35.955,-104.7,-9.8,-74.1,17.9,18.4,-105.0,-9.9,-75.4,-105.5,-9.6,-74.6,,19,19,852.4,29,,25,0,9.2,15.0,2.0,12.0,1,12.0,136,1,51.7,6.9,41.4,0.0,3,11.0 / 0.0,0.0,24720,10164,10164,,,,,,,3535,25
2018-01-18 19:58:35.965,-104.7,-9.8,-74.1,17.9,18.4,-105.0,-9.9,-75.4,-105.5,-9.6,-74.6,,19,19,852.4,29,,25,0,9.2,15.0,2.0,12.0,1,12.0,136,1,51.7,6.9,41.4,0.0,3,10.4 / 0.0,0.0,24720,10164,10164,,,,,,,3535,25
2018-01-18 19:58:36.195,-104.7,-9.8,-74.1,17.9,18.4,-105.0,-9.9,-75.4,-105.5,-9.6,-74.6,,227,47,2323.6,451,,420,12,20.0,2.0,0.0,449.0,1,449.0,136,1,0.4,0.0,99.6,0.0,3,10.4 / 0.0,2.7,1047958,13645,13491,,,,,,,3535,432
2018-01-18 19:58:36.415,-104.7,-9.8,-74.1,17.9,18.4,-105.0,-9.9,-75.4,-105.5,-9.6,-74.6,,227,47,2323.6,451,,420,12,20.0,2.0,0.0,449.0,1,449.0,144,1,0.4,0.0,99.6,0.0,3,10.4 / 0.0,2.7,1047958,13645,13491,,,,,,,3535,432
2018-01-18 19:58:36.440,-103.0,-12.1,-72.1,19.5,17.1,-103.1,-12.1,-72.2,-107.4,-13.3,-75.0,,227,47,2323.6,451,,420,12,20.0,2.0,0.0,449.0,1,449.0,144,1,0.4,0.0,99.6,0.0,3,10.4 / 0.0,2.7,1047958,13645,13491,,,,,,,3535,432
2018-01-18 19:58:36.465,-103.0,-12.1,-72.1,19.5,17.1,-103.1,-12.1,-72.2,-107.4,-13.3,-75.0,,227,47,2323.6,451,,420,12,20.0,2.0,0.0,449.0,1,449.0,144,1,0.4,0.0,99.6,0.0,3,10.3 / 0.0,2.7,1047958,13645,13491,,,,,,,3535,432
2018-01-18 19:58:36.690,-103.0,-12.1,-72.1,19.5,17.1,-103.1,-12.1,-72.2,-107.4,-13.3,-75.0,15,227,47,2323.6,451,,420,12,20.0,2.0,0.0,449.0,1,449.0,144,1,0.4,0.0,99.6,0.0,3,10.3 / 0.0,2.7,1047958,13645,13491,,,,,,,3535,432
