Time,Intermediate KPI,RSRP
2018-01-18 21:13:05.185,,
2018-01-18 21:13:05.255,,-90.3
2018-01-18 21:13:06.60,,-90.9
2018-01-18 21:13:06.765,,-92.9
2018-01-18 21:13:07.160,,-92.7
2018-01-18 21:13:07.795,,-93.6
2018-01-18 21:13:08.235,38924,-93.6
2018-01-18 21:13:08.280,38924,-95.5
2018-01-18 21:13:08.795,38924,-97.4
2018-01-18 21:13:09.315,38924,-98.4
2018-01-18 21:13:09.790,38924,-99.2
2018-01-18 21:13:10.240,23398,-99.2
2018-01-18 21:13:10.315,23398,-98.3
2018-01-18 21:13:10.805,23398,-96.3
2018-01-18 21:13:11.315,23398,-89.9
2018-01-18 21:13:11.825,23398,-91.5
2018-01-18 21:13:12.260,22719,-91.5
2018-01-18 21:13:12.355,22719,-93.4
2018-01-18 21:13:12.830,22719,-92.8
2018-01-18 21:13:13.360,22719,-97.0
2018-01-18 21:13:13.840,22719,-99.4
2018-01-18 21:13:14.260,19378,-99.4
2018-01-18 21:13:14.375,19378,-95.9
2018-01-18 21:13:14.855,19378,-93.6
2018-01-18 21:13:15.380,19378,-92.3
2018-01-18 21:13:15.890,19378,-91.8
2018-01-18 21:13:16.260,29522,-91.8
2018-01-18 21:13:16.375,29522,-94.1
2018-01-18 21:13:16.890,29522,-93.7
2018-01-18 21:13:17.415,29522,-94.0
2018-01-18 21:13:17.890,29522,-92.7
2018-01-18 21:13:18.260,26074,-92.7
2018-01-18 21:13:18.460,26074,-93.8
2018-01-18 21:13:18.930,26074,-98.4
2018-01-18 21:13:19.460,26074,-98.6
2018-01-18 21:13:19.985,26074,-98.3
2018-01-18 21:13:20.425,27913,-98.3
2018-01-18 21:13:20.450,27913,-97.0
2018-01-18 21:13:21.10,27913,-96.7
2018-01-18 21:13:21.495,27913,-99.7
2018-01-18 21:13:22.15,27913,-100.3
2018-01-18 21:13:22.445,36111,-100.3
2018-01-18 21:13:22.490,36111,-100.8
2018-01-18 21:13:23.10,36111,-98.3
2018-01-18 21:13:23.540,36111,-95.8
2018-01-18 21:13:23.985,36111,-97.9
2018-01-18 21:13:24.435,42918,-97.9
2018-01-18 21:13:24.610,42918,-92.8
2018-01-18 21:13:25.140,42918,-91.9
2018-01-18 21:13:25.650,42918,-91.0
2018-01-18 21:13:26.175,42918,-92.3
2018-01-18 21:13:26.455,38919,-92.3
2018-01-18 21:13:26.685,38919,-99.8
2018-01-18 21:13:27.170,38919,-100.8
2018-01-18 21:13:27.695,38919,-99.7
2018-01-18 21:13:28.200,38919,-97.1
2018-01-18 21:13:28.455,38922,-97.1
2018-01-18 21:13:28.680,38922,-95.5
2018-01-18 21:13:29.210,38922,-97.8
2018-01-18 21:13:29.720,38922,-98.2
2018-01-18 21:13:30.255,38922,-97.5
2018-01-18 21:13:30.460,36156,-97.5
2018-01-18 21:13:30.725,36156,-97.0
2018-01-18 21:13:31.240,36156,-93.8
2018-01-18 21:13:31.805,36156,-89.7
2018-01-18 21:13:32.285,36156,-90.0
2018-01-18 21:13:32.460,63806,-90.0
2018-01-18 21:13:32.805,63806,-92.3
2018-01-18 21:13:33.290,63806,-96.1
2018-01-18 21:13:33.805,63806,-97.8
2018-01-18 21:13:34.320,63806,-98.9
2018-01-18 21:13:34.460,48495,-98.9
2018-01-18 21:13:34.805,48495,-100.4
2018-01-18 21:13:35.325,48495,-101.1
2018-01-18 21:13:35.810,48495,-101.7
2018-01-18 21:13:36.325,48495,-101.2
2018-01-18 21:13:36.465,34106,-101.2
2018-01-18 21:13:36.860,34106,-101.7
2018-01-18 21:13:37.355,34106,-102.9
2018-01-18 21:13:37.845,34106,-101.3
2018-01-18 21:13:38.370,34106,-101.4
2018-01-18 21:13:38.660,22433,-101.4
2018-01-18 21:13:38.885,22433,-101.3
2018-01-18 21:13:39.400,22433,-99.9
2018-01-18 21:13:39.925,22433,-99.1
2018-01-18 21:13:40.405,22433,-99.4
2018-01-18 21:13:40.490,26299,-99.4
2018-01-18 21:13:40.895,26299,-100.4
2018-01-18 21:13:41.410,26299,-99.7
2018-01-18 21:13:41.935,26299,-97.8
2018-01-18 21:13:42.415,26299,-97.7
2018-01-18 21:13:42.490,20932,-97.7
2018-01-18 21:13:42.955,20932,-99.9
2018-01-18 21:13:43.205,20932,-96.8
2018-01-18 21:13:43.730,20932,-96.9
2018-01-18 21:13:44.235,20932,-96.0
2018-01-18 21:13:44.540,25970,-96.0
2018-01-18 21:13:44.720,25970,-96.8
2018-01-18 21:13:45.280,25970,-96.7
2018-01-18 21:13:45.765,25970,-95.9
2018-01-18 21:13:46.275,25970,-95.4
2018-01-18 21:13:46.500,32131,-95.4
2018-01-18 21:13:46.770,32131,-94.4
2018-01-18 21:13:47.320,32131,-95.1
2018-01-18 21:13:47.840,32131,-95.5
2018-01-18 21:13:48.365,32131,-97.2
2018-01-18 21:13:48.505,31603,-97.2
