Time,Intermediate KPI,RSRP
2018-01-18 21:39:34.845,,-82.2
2018-01-18 21:39:36.125,,-82.6
2018-01-18 21:39:36.615,,-81.6
2018-01-18 21:39:37.150,,-82.1
2018-01-18 21:39:38.50,,-81.1
2018-01-18 21:39:38.345,5424,-81.1
2018-01-18 21:39:38.740,5424,-81.3
2018-01-18 21:39:39.255,5424,-81.6
2018-01-18 21:39:39.735,5424,-81.5
2018-01-18 21:39:40.240,5424,-81.6
2018-01-18 21:39:40.350,39766,-81.6
2018-01-18 21:39:40.735,39766,-81.2
2018-01-18 21:39:41.260,39766,-80.8
2018-01-18 21:39:41.745,39766,-81.6
2018-01-18 21:39:42.250,39766,-80.8
2018-01-18 21:39:42.370,42582,-80.8
2018-01-18 21:39:42.710,42582,-81.3
2018-01-18 21:39:43.265,42582,-81.7
2018-01-18 21:39:43.745,42582,-81.5
2018-01-18 21:39:44.225,42582,-80.6
2018-01-18 21:39:44.365,81582,-80.6
2018-01-18 21:39:44.770,81582,-80.0
2018-01-18 21:39:45.280,81582,-76.1
2018-01-18 21:39:45.760,81582,-75.4
2018-01-18 21:39:46.350,81582,-78.1
2018-01-18 21:39:46.365,31765,-78.1
2018-01-18 21:39:46.825,31765,-78.3
2018-01-18 21:39:47.340,31765,-81.6
2018-01-18 21:39:47.835,31765,-82.1
2018-01-18 21:39:48.345,31765,-84.0
2018-01-18 21:39:48.370,58196,-84.0
2018-01-18 21:39:48.880,58196,-82.8
2018-01-18 21:39:49.365,58196,-85.1
2018-01-18 21:39:49.875,58196,-85.7
2018-01-18 21:39:50.355,58196,-86.4
2018-01-18 21:39:50.370,40233,-86.4
2018-01-18 21:39:50.880,40233,-86.7
2018-01-18 21:39:51.405,40233,-85.5
2018-01-18 21:39:51.880,40233,-88.1
2018-01-18 21:39:52.405,39237,-88.1
2018-01-18 21:39:52.470,39237,-88.9
2018-01-18 21:39:52.955,39237,-89.6
2018-01-18 21:39:53.480,39237,-90.2
2018-01-18 21:39:53.995,39237,-88.4
2018-01-18 21:39:54.375,18353,-88.4
2018-01-18 21:39:54.515,18353,-89.1
2018-01-18 21:39:54.995,18353,-89.6
2018-01-18 21:39:56.30,18353,-88.8
2018-01-18 21:39:56.375,19617,-88.8
2018-01-18 21:39:56.565,19617,-88.7
2018-01-18 21:39:57.35,19617,-87.4
2018-01-18 21:39:57.565,19617,-88.2
2018-01-18 21:39:58.30,19617,-89.8
2018-01-18 21:39:58.380,41693,-89.8
2018-01-18 21:39:58.560,41693,-90.1
2018-01-18 21:39:59.80,41693,-88.3
2018-01-18 21:39:59.560,41693,-88.1
2018-01-18 21:40:00.75,41693,-89.8
2018-01-18 21:40:00.380,31354,-89.8
2018-01-18 21:40:00.565,31354,-89.3
2018-01-18 21:40:01.80,31354,-89.5
2018-01-18 21:40:01.600,31354,-91.1
2018-01-18 21:40:02.45,31354,-89.5
2018-01-18 21:40:02.380,32365,-89.5
2018-01-18 21:40:02.675,32365,-90.0
2018-01-18 21:40:03.125,32365,-90.9
2018-01-18 21:40:03.755,32365,-89.0
2018-01-18 21:40:04.275,32365,-88.3
2018-01-18 21:40:04.385,28945,-88.3
2018-01-18 21:40:04.760,28945,-89.3
2018-01-18 21:40:05.280,28945,-89.9
2018-01-18 21:40:05.795,28945,-90.3
2018-01-18 21:40:06.280,28945,-90.5
2018-01-18 21:40:06.385,26129,-90.5
2018-01-18 21:40:06.770,26129,-90.6
2018-01-18 21:40:07.390,26129,-90.4
2018-01-18 21:40:07.915,26129,-89.5
