Time,Intermediate KPI,RSRP
2018-01-18 21:30:52.780,,-94.6
2018-01-18 21:30:54.940,,-93.7
2018-01-18 21:30:55.450,,-93.2
2018-01-18 21:30:55.885,,-92.0
2018-01-18 21:30:56.450,,-91.2
2018-01-18 21:30:56.980,,-88.4
2018-01-18 21:30:57.275,5181,-88.4
2018-01-18 21:30:57.480,5181,-85.3
2018-01-18 21:30:58.45,5181,-87.9
2018-01-18 21:30:58.565,5181,-90.8
2018-01-18 21:30:59.85,5181,-88.1
2018-01-18 21:30:59.220,6454,-88.1
2018-01-18 21:30:59.610,6454,-91.7
2018-01-18 21:31:00.115,6454,-90.4
2018-01-18 21:31:00.605,6454,-91.1
2018-01-18 21:31:01.120,6454,-91.8
2018-01-18 21:31:01.220,14987,-91.8
2018-01-18 21:31:01.590,14987,-92.1
2018-01-18 21:31:02.115,14987,-90.1
2018-01-18 21:31:02.650,14987,-91.1
2018-01-18 21:31:03.35,14987,-90.1
2018-01-18 21:31:03.220,11631,-90.1
2018-01-18 21:31:03.630,11631,-96.8
2018-01-18 21:31:04.195,11631,-91.9
2018-01-18 21:31:04.720,11631,-93.2
2018-01-18 21:31:05.185,11631,-92.9
2018-01-18 21:31:05.225,21348,-92.9
2018-01-18 21:31:05.720,21348,-93.5
2018-01-18 21:31:06.270,21348,-93.2
2018-01-18 21:31:06.750,21348,-93.8
2018-01-18 21:31:07.225,11687,-93.8
2018-01-18 21:31:07.270,11687,-93.6
2018-01-18 21:31:07.785,11687,-89.2
2018-01-18 21:31:08.320,11687,-87.7
2018-01-18 21:31:08.830,11687,-85.3
2018-01-18 21:31:09.230,18475,-85.3
2018-01-18 21:31:09.315,18475,-89.2
2018-01-18 21:31:09.830,18475,-90.9
2018-01-18 21:31:10.355,18475,-91.1
2018-01-18 21:31:10.860,18475,-91.6
2018-01-18 21:31:11.230,33839,-91.6
2018-01-18 21:31:11.395,33839,-90.5
2018-01-18 21:31:11.865,33839,-87.1
2018-01-18 21:31:12.420,33839,-88.8
2018-01-18 21:31:12.925,33839,-90.1
2018-01-18 21:31:13.230,13273,-90.1
2018-01-18 21:31:13.410,13273,-90.8
2018-01-18 21:31:13.925,13273,-91.2
2018-01-18 21:31:14.965,13273,-91.6
2018-01-18 21:31:15.235,12030,-91.6
2018-01-18 21:31:15.490,12030,-78.4
