Time,Intermediate KPI
2018-01-18 21:13:05.185,
2018-01-18 21:13:08.235,38924
2018-01-18 21:13:10.240,23398
2018-01-18 21:13:12.260,22719
2018-01-18 21:13:14.260,19378
2018-01-18 21:13:16.260,29522
2018-01-18 21:13:18.260,26074
2018-01-18 21:13:20.425,27913
2018-01-18 21:13:22.445,36111
2018-01-18 21:13:24.435,42918
2018-01-18 21:13:26.455,38919
2018-01-18 21:13:28.455,38922
2018-01-18 21:13:30.460,36156
2018-01-18 21:13:32.460,63806
2018-01-18 21:13:34.460,48495
2018-01-18 21:13:36.465,34106
2018-01-18 21:13:38.660,22433
2018-01-18 21:13:40.490,26299
2018-01-18 21:13:42.490,20932
2018-01-18 21:13:44.540,25970
2018-01-18 21:13:46.500,32131
2018-01-18 21:13:48.505,31603
2018-01-18 21:13:50.515,29550
2018-01-18 21:13:52.505,37566
2018-01-18 21:13:54.510,37089
2018-01-18 21:13:56.510,43478
2018-01-18 21:13:58.510,37344
2018-01-18 21:14:00.510,33900
2018-01-18 21:14:02.510,33673
2018-01-18 21:14:04.515,33495
2018-01-18 21:14:06.555,33511
2018-01-18 21:14:08.525,35720
2018-01-18 21:14:10.525,21304
2018-01-18 21:14:12.545,38465
2018-01-18 21:14:14.540,37737
2018-01-18 21:14:16.540,35802
2018-01-18 21:14:18.545,36482
2018-01-18 21:14:20.545,53950
2018-01-18 21:14:22.555,18386
2018-01-18 21:14:24.550,37497
2018-01-18 21:14:26.550,31457
2018-01-18 21:14:28.600,50604
2018-01-18 21:14:30.565,50541
2018-01-18 21:14:32.565,72870
2018-01-18 21:14:34.600,88876
2018-01-18 21:14:36.575,86385
2018-01-18 21:14:38.580,43733
2018-01-18 21:14:40.580,67384
2018-01-18 21:14:42.580,62436
2018-01-18 21:14:44.585,59382
2018-01-18 21:14:46.585,57029
2018-01-18 21:14:48.585,35659
2018-01-18 21:14:50.590,18359
2018-01-18 21:14:52.590,44122
2018-01-18 21:14:54.590,61291
2018-01-18 21:14:56.590,36906
2018-01-18 21:14:58.595,28751
2018-01-18 21:15:00.595,22485
2018-01-18 21:15:02.595,11515
2018-01-18 21:15:04.600,17621
2018-01-18 21:15:06.610,7203
2018-01-18 21:15:08.605,16241
2018-01-18 21:15:10.605,35082
2018-01-18 21:15:12.605,19335
2018-01-18 21:15:14.625,16435
2018-01-18 21:15:16.620,25503
2018-01-18 21:15:18.630,26350
2018-01-18 21:15:20.665,18845
2018-01-18 21:15:22.665,17006
2018-01-18 21:15:24.665,20654
2018-01-18 21:15:26.670,8836
2018-01-18 21:15:28.670,13371
2018-01-18 21:15:30.670,5571
2018-01-18 21:15:32.675,12974
2018-01-18 21:15:34.675,20339
2018-01-18 21:15:36.675,32818
2018-01-18 21:15:38.690,20264
2018-01-18 21:15:40.695,21820
2018-01-18 21:15:42.695,15895
2018-01-18 21:15:44.745,16378
2018-01-18 21:15:46.735,15234
2018-01-18 21:15:48.735,14650
2018-01-18 21:15:50.735,20959
2018-01-18 21:15:52.745,3736
2018-01-18 21:15:54.790,12181
2018-01-18 21:15:56.830,8633
2018-01-18 21:15:58.835,11209
2018-01-18 21:16:00.840,21254
2018-01-18 21:16:02.850,26822
2018-01-18 21:16:04.850,6732
2018-01-18 21:16:06.850,18268
2018-01-18 21:16:08.875,14023
2018-01-18 21:16:10.880,4479
2018-01-18 21:16:12.875,5161
2018-01-18 21:16:14.915,2451
2018-01-18 21:16:16.920,2701
2018-01-18 21:16:18.920,1236
2018-01-18 21:16:20.930,3937
2018-01-18 21:16:22.945,6317
2018-01-18 21:16:24.945,6880
2018-01-18 21:16:26.945,6837
2018-01-18 21:16:28.945,4467
2018-01-18 21:16:30.995,5910
2018-01-18 21:16:33.30,12177
2018-01-18 21:16:35.30,19845
2018-01-18 21:16:37.30,27533
2018-01-18 21:16:39.65,23728
2018-01-18 21:16:41.75,20118
2018-01-18 21:16:43.85,49451
2018-01-18 21:16:45.85,33223
2018-01-18 21:16:47.85,26248
2018-01-18 21:16:49.90,28010
2018-01-18 21:16:51.280,19082
2018-01-18 21:16:53.265,20627
2018-01-18 21:16:55.265,7375
2018-01-18 21:16:57.265,21653
2018-01-18 21:16:59.270,8757
2018-01-18 21:17:01.270,18581
2018-01-18 21:17:03.310,21359
2018-01-18 21:17:05.320,10677
2018-01-18 21:17:07.325,2585
2018-01-18 21:17:09.325,3017
2018-01-18 21:17:11.325,649
2018-01-18 21:17:13.325,3318
2018-01-18 21:17:15.385,1933
2018-01-18 21:17:17.385,782
2018-01-18 21:17:19.390,1369
2018-01-18 21:17:21.390,642
2018-01-18 21:17:23.400,405
2018-01-18 21:17:25.400,786
2018-01-18 21:17:27.445,653
2018-01-18 21:17:29.445,4361
2018-01-18 21:17:31.475,4210
2018-01-18 21:17:33.455,9400
2018-01-18 21:17:35.455,18745
2018-01-18 21:17:37.470,7493
2018-01-18 21:17:39.470,10783
2018-01-18 21:17:41.480,8266
2018-01-18 21:17:43.495,9698
2018-01-18 21:17:45.495,8013
2018-01-18 21:17:47.500,8433
2018-01-18 21:17:49.530,20655
2018-01-18 21:17:51.535,25047
2018-01-18 21:17:53.535,48297
2018-01-18 21:17:55.680,38719
2018-01-18 21:17:57.560,39000
2018-01-18 21:17:59.565,37056
2018-01-18 21:18:01.565,52113
2018-01-18 21:18:03.570,5566
2018-01-18 21:18:05.570,7759
2018-01-18 21:18:07.570,5977
2018-01-18 21:18:09.575,20139
2018-01-18 21:18:11.580,35365
2018-01-18 21:18:13.600,19420
2018-01-18 21:18:15.600,11809
2018-01-18 21:18:17.605,28320
2018-01-18 21:18:19.635,28217
2018-01-18 21:18:21.635,12120
2018-01-18 21:18:23.635,22785
2018-01-18 21:18:25.645,27967
2018-01-18 21:18:27.645,17449
2018-01-18 21:18:29.650,25240
2018-01-18 21:18:31.660,9923
2018-01-18 21:18:33.660,8202
2018-01-18 21:18:35.670,12818
2018-01-18 21:18:37.665,18653
2018-01-18 21:18:39.670,11881
2018-01-18 21:18:41.670,25752
2018-01-18 21:18:43.675,18989
2018-01-18 21:18:45.675,27175
2018-01-18 21:18:47.710,16562
2018-01-18 21:18:49.680,12258
2018-01-18 21:18:51.685,13779
2018-01-18 21:18:53.700,8537
2018-01-18 21:18:55.690,10677
2018-01-18 21:18:57.695,10272
2018-01-18 21:18:59.700,13661
2018-01-18 21:19:01.700,22618
2018-01-18 21:19:03.725,10593
2018-01-18 21:19:05.725,16811
