Time,Intermediate KPI
2018-01-18 21:09:56.145,
2018-01-18 21:10:00.635,33482
2018-01-18 21:10:02.630,38320
2018-01-18 21:10:04.630,45570
2018-01-18 21:10:06.630,37339
2018-01-18 21:10:08.635,45914
2018-01-18 21:10:10.635,61294
2018-01-18 21:10:12.640,62048
2018-01-18 21:10:14.640,48631
2018-01-18 21:10:16.640,37113
2018-01-18 21:10:18.685,27217
2018-01-18 21:10:20.670,42658
2018-01-18 21:10:22.670,48661
2018-01-18 21:10:24.670,47211
2018-01-18 21:10:26.670,58840
2018-01-18 21:10:28.675,31975
2018-01-18 21:10:30.675,27056
2018-01-18 21:10:32.680,62673
2018-01-18 21:10:34.680,84236
2018-01-18 21:10:36.685,94340
2018-01-18 21:10:38.685,92238
2018-01-18 21:10:40.685,77090
2018-01-18 21:10:42.685,48195
2018-01-18 21:10:44.690,33966
2018-01-18 21:10:46.735,19829
2018-01-18 21:10:48.725,16853
2018-01-18 21:10:50.720,46527
2018-01-18 21:10:52.825,31158
2018-01-18 21:10:54.765,82531
2018-01-18 21:10:56.765,105374
2018-01-18 21:10:58.770,94722
2018-01-18 21:11:00.770,85913
2018-01-18 21:11:02.775,61141
2018-01-18 21:11:04.775,84031
2018-01-18 21:11:06.780,74546
2018-01-18 21:11:08.850,68381
2018-01-18 21:11:10.855,64844
2018-01-18 21:11:12.855,43074
2018-01-18 21:11:14.855,49186
2018-01-18 21:11:16.860,40757
2018-01-18 21:11:18.860,40109
2018-01-18 21:11:20.860,32674
2018-01-18 21:11:22.865,22164
2018-01-18 21:11:24.865,24772
2018-01-18 21:11:26.880,45158
2018-01-18 21:11:28.880,42095
2018-01-18 21:11:30.885,35770
2018-01-18 21:11:32.885,19457
2018-01-18 21:11:34.885,23855
2018-01-18 21:11:36.890,32918
2018-01-18 21:11:38.940,35417
2018-01-18 21:11:40.920,33384
2018-01-18 21:11:42.925,33018
2018-01-18 21:11:44.925,51626
2018-01-18 21:11:46.925,18346
2018-01-18 21:11:49.60,25802
2018-01-18 21:11:51.80,31486
2018-01-18 21:11:53.65,30805
2018-01-18 21:11:55.70,31803
2018-01-18 21:11:57.70,31466
2018-01-18 21:11:59.70,37681
2018-01-18 21:12:01.70,24654
2018-01-18 21:12:03.75,21259
2018-01-18 21:12:05.75,25333
2018-01-18 21:12:07.85,43245
2018-01-18 21:12:09.80,52710
2018-01-18 21:12:11.80,72076
2018-01-18 21:12:13.80,73977
2018-01-18 21:12:15.85,59572
2018-01-18 21:12:17.85,35501
2018-01-18 21:12:19.85,60185
2018-01-18 21:12:21.85,75603
2018-01-18 21:12:23.90,96373
2018-01-18 21:12:25.90,81416
2018-01-18 21:12:27.95,73589
2018-01-18 21:12:29.115,70536
2018-01-18 21:12:31.110,64420
2018-01-18 21:12:33.110,65591
2018-01-18 21:12:35.145,62148
2018-01-18 21:12:37.125,59433
2018-01-18 21:12:39.125,49602
2018-01-18 21:12:41.125,50939
2018-01-18 21:12:43.130,22508
2018-01-18 21:12:45.130,6343
2018-01-18 21:12:47.130,18790
2018-01-18 21:12:49.135,38113
2018-01-18 21:12:51.135,39283
2018-01-18 21:12:53.140,26678
2018-01-18 21:12:55.140,36744
2018-01-18 21:12:56.310,0
