Time,Intermediate KPI
2018-01-18 21:19:35.905,
2018-01-18 21:19:39.950,10531
2018-01-18 21:19:41.955,12995
2018-01-18 21:19:43.955,22862
2018-01-18 21:19:45.970,24631
2018-01-18 21:19:47.965,6519
2018-01-18 21:19:49.965,24343
2018-01-18 21:19:51.970,12509
2018-01-18 21:19:53.970,18973
2018-01-18 21:19:55.975,13807
2018-01-18 21:19:58.15,6509
2018-01-18 21:20:00.5,11620
2018-01-18 21:20:02.10,19457
2018-01-18 21:20:04.10,29990
2018-01-18 21:20:06.10,27394
2018-01-18 21:20:08.15,18857
2018-01-18 21:20:10.15,20044
2018-01-18 21:20:12.20,10705
2018-01-18 21:20:14.20,34688
2018-01-18 21:20:16.25,29294
2018-01-18 21:20:18.25,10516
2018-01-18 21:20:20.30,9666
2018-01-18 21:20:22.30,21053
2018-01-18 21:20:24.35,19340
2018-01-18 21:20:26.35,24138
2018-01-18 21:20:28.35,44422
2018-01-18 21:20:30.40,48715
2018-01-18 21:20:32.40,58082
2018-01-18 21:20:34.45,33208
2018-01-18 21:20:36.45,77100
2018-01-18 21:20:38.45,75166
2018-01-18 21:20:40.110,73072
2018-01-18 21:20:42.95,79044
2018-01-18 21:20:44.100,50226
2018-01-18 21:20:46.100,39156
2018-01-18 21:20:48.100,14435
2018-01-18 21:20:50.105,4437
2018-01-18 21:20:52.105,3200
2018-01-18 21:20:54.110,17494
2018-01-18 21:20:56.110,10599
2018-01-18 21:20:58.110,7743
2018-01-18 21:21:00.165,16055
2018-01-18 21:21:02.125,21365
2018-01-18 21:21:04.125,15225
2018-01-18 21:21:06.130,26670
2018-01-18 21:21:08.130,6076
2018-01-18 21:21:10.135,12457
2018-01-18 21:21:12.140,26695
2018-01-18 21:21:14.240,23816
2018-01-18 21:21:16.250,30673
2018-01-18 21:21:18.285,45682
2018-01-18 21:21:20.295,22543
2018-01-18 21:21:22.300,37513
2018-01-18 21:21:24.315,42668
2018-01-18 21:21:26.305,62432
2018-01-18 21:21:28.315,29867
2018-01-18 21:21:30.325,54358
2018-01-18 21:21:32.320,42962
2018-01-18 21:21:34.325,33124
2018-01-18 21:21:36.325,78216
2018-01-18 21:21:38.325,83444
2018-01-18 21:21:40.330,52732
2018-01-18 21:21:42.330,60492
2018-01-18 21:21:44.545,41272
2018-01-18 21:21:46.535,28823
2018-01-18 21:21:48.550,4327
2018-01-18 21:21:50.550,5008
2018-01-18 21:21:52.550,2937
2018-01-18 21:21:54.575,23663
2018-01-18 21:21:56.575,43551
2018-01-18 21:21:58.580,29005
2018-01-18 21:22:00.595,12679
2018-01-18 21:22:02.605,4690
2018-01-18 21:22:04.605,27763
2018-01-18 21:22:06.625,35543
2018-01-18 21:22:08.625,21471
2018-01-18 21:22:10.630,4832
2018-01-18 21:22:12.655,18378
2018-01-18 21:22:14.655,37403
2018-01-18 21:22:16.655,40809
2018-01-18 21:22:18.675,17534
2018-01-18 21:22:20.675,6779
2018-01-18 21:22:22.675,5480
2018-01-18 21:22:24.690,14614
2018-01-18 21:22:26.690,19569
2018-01-18 21:22:28.690,11675
2018-01-18 21:22:30.720,8109
2018-01-18 21:22:32.695,61183
2018-01-18 21:22:34.765,37697
2018-01-18 21:22:36.765,44671
2018-01-18 21:22:38.765,34733
2018-01-18 21:22:40.770,29385
2018-01-18 21:22:42.775,63010
2018-01-18 21:22:44.775,79329
2018-01-18 21:22:46.775,44913
2018-01-18 21:22:48.780,38944
2018-01-18 21:22:50.780,68826
2018-01-18 21:22:52.785,58842
2018-01-18 21:22:54.785,35597
2018-01-18 21:22:56.790,34560
2018-01-18 21:22:58.840,29457
2018-01-18 21:23:00.840,21471
2018-01-18 21:23:02.840,27105
2018-01-18 21:23:04.840,12335
2018-01-18 21:23:06.845,8457
2018-01-18 21:23:08.875,22503
2018-01-18 21:23:10.875,37657
2018-01-18 21:23:12.875,67029
2018-01-18 21:23:14.875,51375
2018-01-18 21:23:16.880,42563
2018-01-18 21:23:18.880,83632
2018-01-18 21:23:20.880,78316
2018-01-18 21:23:22.880,43950
2018-01-18 21:23:24.885,31903
2018-01-18 21:23:26.885,19679
2018-01-18 21:23:28.960,6465
2018-01-18 21:23:30.960,13445
2018-01-18 21:23:32.960,8246
2018-01-18 21:23:34.965,13357
2018-01-18 21:23:36.970,6794
2018-01-18 21:23:38.970,28501
2018-01-18 21:23:40.975,33057
2018-01-18 21:23:42.975,43323
2018-01-18 21:23:44.990,24679
2018-01-18 21:23:47.255,34127
2018-01-18 21:23:49.195,49883
2018-01-18 21:23:51.200,53949
2018-01-18 21:23:53.315,43541
2018-01-18 21:23:55.240,101044
2018-01-18 21:23:57.245,106920
2018-01-18 21:23:59.245,117191
2018-01-18 21:23:59.505,0
