Time,Intermediate KPI
2018-01-18 21:30:52.780,
2018-01-18 21:30:57.275,5181
2018-01-18 21:30:59.220,6454
2018-01-18 21:31:01.220,14987
2018-01-18 21:31:03.220,11631
2018-01-18 21:31:05.225,21348
2018-01-18 21:31:07.225,11687
2018-01-18 21:31:09.230,18475
2018-01-18 21:31:11.230,33839
2018-01-18 21:31:13.230,13273
2018-01-18 21:31:15.235,12030
2018-01-18 21:31:17.235,38503
2018-01-18 21:31:19.235,37701
2018-01-18 21:31:21.235,34028
2018-01-18 21:31:23.235,42979
2018-01-18 21:31:25.240,49405
2018-01-18 21:31:27.240,56856
2018-01-18 21:31:29.240,37280
2018-01-18 21:31:31.250,32295
2018-01-18 21:31:33.250,16223
2018-01-18 21:31:35.280,36849
2018-01-18 21:31:37.280,68101
2018-01-18 21:31:39.280,62393
2018-01-18 21:31:41.280,52451
2018-01-18 21:31:43.285,55132
2018-01-18 21:31:45.285,47089
2018-01-18 21:31:47.285,43417
2018-01-18 21:31:49.290,39191
2018-01-18 21:31:51.290,39616
2018-01-18 21:31:53.290,48912
2018-01-18 21:31:55.295,43804
2018-01-18 21:31:57.295,42738
2018-01-18 21:31:59.300,44821
2018-01-18 21:32:01.300,42059
2018-01-18 21:32:03.300,49366
2018-01-18 21:32:05.310,41038
2018-01-18 21:32:07.305,46534
2018-01-18 21:32:09.310,48078
2018-01-18 21:32:11.310,38515
2018-01-18 21:32:13.310,45837
2018-01-18 21:32:15.310,42329
2018-01-18 21:32:17.315,39807
2018-01-18 21:32:19.315,45321
2018-01-18 21:32:21.315,41521
2018-01-18 21:32:23.315,49069
2018-01-18 21:32:25.420,45330
2018-01-18 21:32:27.375,47193
2018-01-18 21:32:29.375,28265
2018-01-18 21:32:31.420,23850
2018-01-18 21:32:33.375,21215
2018-01-18 21:32:35.380,20949
2018-01-18 21:32:37.380,21120
2018-01-18 21:32:39.380,22962
2018-01-18 21:32:41.380,14593
2018-01-18 21:32:43.445,23563
2018-01-18 21:32:45.445,23562
2018-01-18 21:32:47.440,15414
2018-01-18 21:32:49.445,60662
2018-01-18 21:32:51.450,36616
2018-01-18 21:32:53.455,14071
2018-01-18 21:32:55.455,38806
2018-01-18 21:32:57.455,32724
2018-01-18 21:32:59.465,36640
2018-01-18 21:33:01.465,34623
2018-01-18 21:33:03.465,13751
2018-01-18 21:33:05.465,13434
2018-01-18 21:33:07.470,18706
2018-01-18 21:33:09.470,24973
2018-01-18 21:33:11.470,43833
2018-01-18 21:33:13.540,29955
2018-01-18 21:33:15.480,21315
2018-01-18 21:33:17.475,18120
2018-01-18 21:33:19.480,19496
2018-01-18 21:33:21.480,13690
2018-01-18 21:33:23.480,10893
2018-01-18 21:33:25.480,12525
2018-01-18 21:33:27.485,5832
2018-01-18 21:33:29.485,25159
2018-01-18 21:33:31.485,26229
2018-01-18 21:33:33.490,31220
2018-01-18 21:33:35.490,27052
2018-01-18 21:33:37.490,27499
2018-01-18 21:33:39.490,39819
2018-01-18 21:33:41.490,30051
2018-01-18 21:33:43.495,29072
2018-01-18 21:33:45.495,23855
2018-01-18 21:33:47.500,23739
2018-01-18 21:33:49.500,21792
2018-01-18 21:33:51.500,10976
2018-01-18 21:33:53.510,8808
2018-01-18 21:33:55.505,12329
2018-01-18 21:33:57.505,20920
2018-01-18 21:33:59.510,18575
2018-01-18 21:34:01.515,26028
2018-01-18 21:34:03.515,20993
2018-01-18 21:34:05.515,27333
2018-01-18 21:34:07.675,35222
2018-01-18 21:34:09.670,23839
2018-01-18 21:34:11.670,22624
2018-01-18 21:34:13.670,36714
2018-01-18 21:34:15.670,34167
2018-01-18 21:34:17.675,20905
2018-01-18 21:34:19.675,17042
2018-01-18 21:34:21.700,22186
2018-01-18 21:34:23.710,7860
2018-01-18 21:34:25.885,12949
2018-01-18 21:34:27.860,28370
2018-01-18 21:34:29.900,39542
2018-01-18 21:34:31.895,46191
2018-01-18 21:34:33.895,35759
2018-01-18 21:34:35.935,20349
2018-01-18 21:34:37.930,23367
2018-01-18 21:34:39.930,25686
2018-01-18 21:34:41.935,25636
2018-01-18 21:34:43.935,32719
2018-01-18 21:34:45.940,37002
2018-01-18 21:34:47.940,19511
2018-01-18 21:34:49.940,8241
2018-01-18 21:34:52.20,13714
2018-01-18 21:34:53.945,13163
2018-01-18 21:34:55.945,7713
2018-01-18 21:34:57.950,14955
2018-01-18 21:34:59.950,10189
2018-01-18 21:35:02.105,10118
2018-01-18 21:35:04.95,18228
2018-01-18 21:35:06.95,17391
2018-01-18 21:35:08.95,24709
2018-01-18 21:35:10.130,21274
2018-01-18 21:35:12.130,30074
2018-01-18 21:35:14.135,27804
2018-01-18 21:35:16.135,27863
2018-01-18 21:35:18.135,17555
2018-01-18 21:35:20.135,28301
2018-01-18 21:35:22.135,52142
2018-01-18 21:35:24.140,31924
2018-01-18 21:35:26.140,31020
2018-01-18 21:35:28.140,88127
2018-01-18 21:35:30.150,12109
2018-01-18 21:35:32.150,40052
2018-01-18 21:35:34.215,29078
2018-01-18 21:35:36.215,68522
2018-01-18 21:35:38.215,66308
2018-01-18 21:35:40.215,85203
2018-01-18 21:35:41.315,0
