Time,Intermediate KPI
2018-01-18 21:46:21.880,
2018-01-18 21:46:25.470,36335
2018-01-18 21:46:27.470,42808
2018-01-18 21:46:29.470,46103
2018-01-18 21:46:31.475,45997
2018-01-18 21:46:33.475,44549
2018-01-18 21:46:35.475,41048
2018-01-18 21:46:37.490,19984
2018-01-18 21:46:39.480,49743
2018-01-18 21:46:41.480,47934
2018-01-18 21:46:43.495,55922
2018-01-18 21:46:45.500,50317
2018-01-18 21:46:47.500,46051
2018-01-18 21:46:49.500,52927
2018-01-18 21:46:51.510,47265
2018-01-18 21:46:53.635,55416
2018-01-18 21:46:55.565,66109
2018-01-18 21:46:57.565,42169
2018-01-18 21:46:59.595,39009
2018-01-18 21:47:01.595,27827
2018-01-18 21:47:03.600,28004
2018-01-18 21:47:05.615,33972
2018-01-18 21:47:07.605,27117
2018-01-18 21:47:09.605,40898
2018-01-18 21:47:11.605,58297
2018-01-18 21:47:13.610,44987
2018-01-18 21:47:15.610,38176
2018-01-18 21:47:17.615,26031
2018-01-18 21:47:19.615,51804
2018-01-18 21:47:21.620,52678
2018-01-18 21:47:23.620,50481
2018-01-18 21:47:25.625,35764
2018-01-18 21:47:27.625,47749
2018-01-18 21:47:29.625,41142
2018-01-18 21:47:31.645,38784
2018-01-18 21:47:33.650,39233
2018-01-18 21:47:35.650,53428
2018-01-18 21:47:37.650,40487
2018-01-18 21:47:39.650,39139
2018-01-18 21:47:41.655,24754
2018-01-18 21:47:43.685,11470
2018-01-18 21:47:45.660,8203
2018-01-18 21:47:47.655,14724
2018-01-18 21:47:49.670,37574
2018-01-18 21:47:51.685,7489
2018-01-18 21:47:53.680,8425
2018-01-18 21:47:55.680,10261
2018-01-18 21:47:57.685,2273
2018-01-18 21:47:59.685,4817
2018-01-18 21:48:01.690,9977
2018-01-18 21:48:03.690,23788
2018-01-18 21:48:05.690,29505
2018-01-18 21:48:07.695,23251
2018-01-18 21:48:09.705,19197
2018-01-18 21:48:11.725,25396
2018-01-18 21:48:13.720,24143
2018-01-18 21:48:15.725,24915
2018-01-18 21:48:17.760,22657
2018-01-18 21:48:20.45,17274
2018-01-18 21:48:21.890,30781
2018-01-18 21:48:23.870,42818
2018-01-18 21:48:25.870,27128
2018-01-18 21:48:27.945,22279
2018-01-18 21:48:30.10,12765
2018-01-18 21:48:31.925,6090
2018-01-18 21:48:34.5,4010
2018-01-18 21:48:36.305,12431
2018-01-18 21:48:38.15,15225
2018-01-18 21:48:40.290,23858
2018-01-18 21:48:42.110,26197
2018-01-18 21:48:44.150,22338
2018-01-18 21:48:46.105,23889
2018-01-18 21:48:48.110,26231
2018-01-18 21:48:50.110,43933
2018-01-18 21:48:52.305,25915
2018-01-18 21:48:54.315,20887
2018-01-18 21:48:56.350,31482
2018-01-18 21:48:58.420,23469
2018-01-18 21:49:00.390,20583
2018-01-18 21:49:02.395,28864
2018-01-18 21:49:04.440,28190
2018-01-18 21:49:06.435,21859
2018-01-18 21:49:08.435,31653
2018-01-18 21:49:10.545,31113
2018-01-18 21:49:12.520,24604
2018-01-18 21:49:14.525,17403
2018-01-18 21:49:16.550,38287
2018-01-18 21:49:18.550,33755
2018-01-18 21:49:20.550,27197
2018-01-18 21:49:22.550,15493
2018-01-18 21:49:24.585,25144
2018-01-18 21:49:26.585,16379
2018-01-18 21:49:28.585,13483
2018-01-18 21:49:30.605,7849
2018-01-18 21:49:32.600,4110
2018-01-18 21:49:34.600,2529
2018-01-18 21:49:36.605,4023
2018-01-18 21:49:38.615,1237
2018-01-18 21:49:40.610,2909
2018-01-18 21:49:42.615,3138
2018-01-18 21:49:44.615,5036
2018-01-18 21:49:46.615,17064
2018-01-18 21:49:48.620,16798
2018-01-18 21:49:50.620,4082
2018-01-18 21:49:52.620,9381
2018-01-18 21:49:54.665,11187
2018-01-18 21:49:56.625,25965
2018-01-18 21:49:58.625,24831
2018-01-18 21:50:00.675,18636
2018-01-18 21:50:02.635,24003
2018-01-18 21:50:04.645,40333
2018-01-18 21:50:06.645,43651
2018-01-18 21:50:08.645,21199
2018-01-18 21:50:10.665,28079
2018-01-18 21:50:12.665,31421
2018-01-18 21:50:14.710,36164
2018-01-18 21:50:16.735,22389
2018-01-18 21:50:18.765,31079
2018-01-18 21:50:20.765,33823
2018-01-18 21:50:22.765,38465
2018-01-18 21:50:24.770,27408
2018-01-18 21:50:26.770,29000
2018-01-18 21:50:28.770,29054
2018-01-18 21:50:30.770,26805
2018-01-18 21:50:32.775,24366
2018-01-18 21:50:34.775,20288
2018-01-18 21:50:36.775,30367
2018-01-18 21:50:38.985,25974
2018-01-18 21:50:41.10,19674
2018-01-18 21:50:43.60,22056
2018-01-18 21:50:45.55,41688
2018-01-18 21:50:46.995,28795
2018-01-18 21:50:48.995,26967
2018-01-18 21:50:51.0,35619
2018-01-18 21:50:52.995,30464
2018-01-18 21:50:55.0,30533
2018-01-18 21:50:57.70,23358
2018-01-18 21:50:59.70,31187
2018-01-18 21:51:01.280,36894
2018-01-18 21:51:03.205,38401
2018-01-18 21:51:05.205,37860
2018-01-18 21:51:07.205,37039
2018-01-18 21:51:09.205,35292
2018-01-18 21:51:11.210,41980
2018-01-18 21:51:13.210,52042
2018-01-18 21:51:15.210,51127
2018-01-18 21:51:17.215,48669
2018-01-18 21:51:19.220,59546
2018-01-18 21:51:19.545,0
