Time,Intermediate KPI
2018-01-18 21:51:24.305,
2018-01-18 21:51:27.510,55025
2018-01-18 21:51:29.515,100136
2018-01-18 21:51:31.515,91462
2018-01-18 21:51:33.525,66961
2018-01-18 21:51:35.525,66014
2018-01-18 21:51:37.530,71422
2018-01-18 21:51:39.570,66820
2018-01-18 21:51:41.585,50796
2018-01-18 21:51:43.585,74524
2018-01-18 21:51:45.585,84766
2018-01-18 21:51:47.590,88266
2018-01-18 21:51:49.590,79697
2018-01-18 21:51:51.590,79416
2018-01-18 21:51:53.595,83677
2018-01-18 21:51:55.630,80293
2018-01-18 21:51:57.615,71187
2018-01-18 21:51:59.640,64971
2018-01-18 21:52:01.640,81002
2018-01-18 21:52:03.645,76737
2018-01-18 21:52:05.670,92491
2018-01-18 21:52:07.675,94467
2018-01-18 21:52:09.685,96163
2018-01-18 21:52:11.685,68787
2018-01-18 21:52:13.720,77019
2018-01-18 21:52:15.740,93014
2018-01-18 21:52:17.755,100413
2018-01-18 21:52:19.750,95357
2018-01-18 21:52:21.755,91488
2018-01-18 21:52:23.755,63433
2018-01-18 21:52:26.0,98219
2018-01-18 21:52:27.935,88649
2018-01-18 21:52:29.935,105357
2018-01-18 21:52:31.935,78011
2018-01-18 21:52:33.940,80743
2018-01-18 21:52:35.940,98368
2018-01-18 21:52:37.940,102693
2018-01-18 21:52:39.940,96824
2018-01-18 21:52:41.945,81252
2018-01-18 21:52:43.945,100796
2018-01-18 21:52:46.120,99349
2018-01-18 21:52:48.110,100596
2018-01-18 21:52:50.115,88835
2018-01-18 21:52:52.115,82472
2018-01-18 21:52:54.115,97612
2018-01-18 21:52:56.120,96745
2018-01-18 21:52:58.120,95247
2018-01-18 21:53:00.125,84224
2018-01-18 21:53:02.125,77667
2018-01-18 21:53:04.125,87135
2018-01-18 21:53:06.130,85948
2018-01-18 21:53:06.910,0
