Time,Intermediate KPI
2018-01-18 19:58:34.395,
2018-01-18 19:58:37.310,21024
2018-01-18 19:58:39.310,49544
2018-01-18 19:58:41.315,71277
2018-01-18 19:58:43.315,61130
2018-01-18 19:58:45.320,62845
2018-01-18 19:58:47.320,63000
2018-01-18 19:58:49.320,64476
2018-01-18 19:58:51.325,52512
2018-01-18 19:58:53.335,60552
2018-01-18 19:58:55.335,24554
2018-01-18 19:58:57.340,35941
2018-01-18 19:58:59.365,35970
2018-01-18 19:59:01.350,54344
2018-01-18 19:59:03.350,62479
2018-01-18 19:59:05.360,65834
2018-01-18 19:59:07.360,56202
2018-01-18 19:59:09.360,66996
2018-01-18 19:59:11.370,70446
2018-01-18 19:59:13.370,58250
2018-01-18 19:59:15.370,27300
2018-01-18 19:59:17.385,35596
2018-01-18 19:59:19.385,77029
2018-01-18 19:59:21.390,52935
2018-01-18 19:59:23.425,76082
2018-01-18 19:59:25.395,73275
2018-01-18 19:59:27.395,75981
2018-01-18 19:59:29.400,69364
2018-01-18 19:59:31.400,72532
2018-01-18 19:59:33.485,72308
2018-01-18 19:59:35.535,21404
2018-01-18 19:59:37.490,49464
2018-01-18 19:59:39.490,51532
2018-01-18 19:59:41.500,74346
2018-01-18 19:59:43.500,75186
2018-01-18 19:59:45.500,71269
2018-01-18 19:59:47.545,51346
2018-01-18 19:59:49.515,64543
2018-01-18 19:59:51.515,62132
2018-01-18 19:59:53.520,52830
2018-01-18 19:59:55.520,33101
2018-01-18 19:59:57.520,49208
2018-01-18 19:59:59.520,65791
2018-01-18 20:00:01.520,67761
2018-01-18 20:00:03.525,70821
2018-01-18 20:00:05.525,72797
2018-01-18 20:00:07.530,75520
2018-01-18 20:00:09.530,66966
2018-01-18 20:00:11.535,49890
2018-01-18 20:00:13.530,62139
2018-01-18 20:00:15.580,26124
2018-01-18 20:00:17.575,33240
2018-01-18 20:00:19.580,35675
2018-01-18 20:00:21.580,70825
2018-01-18 20:00:24.345,70890
2018-01-18 20:00:26.160,50733
2018-01-18 20:00:27.975,72820
2018-01-18 20:00:29.975,75341
2018-01-18 20:00:32.0,66469
2018-01-18 20:00:34.35,58746
2018-01-18 20:00:36.145,76295
2018-01-18 20:00:38.70,76171
2018-01-18 20:00:40.215,63815
2018-01-18 20:00:42.210,76793
2018-01-18 20:00:44.210,72170
2018-01-18 20:00:46.210,68906
2018-01-18 20:00:48.215,57043
2018-01-18 20:00:50.435,68541
2018-01-18 20:00:52.370,60011
2018-01-18 20:00:54.370,41242
2018-01-18 20:00:56.370,17335
2018-01-18 20:00:58.370,27233
2018-01-18 20:01:00.370,62617
2018-01-18 20:01:02.375,24053
2018-01-18 20:01:04.300,0
