Time,Intermediate KPI
2018-01-18 19:53:06.120,
2018-01-18 19:53:09.300,39074
2018-01-18 19:53:11.305,62399
2018-01-18 19:53:13.305,63196
2018-01-18 19:53:15.310,32707
2018-01-18 19:53:17.310,28348
2018-01-18 19:53:19.310,69687
2018-01-18 19:53:21.310,72018
2018-01-18 19:53:23.310,73225
2018-01-18 19:53:25.315,58865
2018-01-18 19:53:27.315,52148
2018-01-18 19:53:29.315,68716
2018-01-18 19:53:31.315,63500
2018-01-18 19:53:33.315,56596
2018-01-18 19:53:35.320,27438
2018-01-18 19:53:37.320,35215
2018-01-18 19:53:39.325,50287
2018-01-18 19:53:41.325,68754
2018-01-18 19:53:43.330,73679
2018-01-18 19:53:45.330,72093
2018-01-18 19:53:47.330,74260
2018-01-18 19:53:49.335,70021
2018-01-18 19:53:51.335,74925
2018-01-18 19:53:53.340,65412
2018-01-18 19:53:55.340,37996
2018-01-18 19:53:57.345,38393
2018-01-18 19:53:59.345,47274
2018-01-18 19:54:01.350,23162
2018-01-18 19:54:03.350,18457
2018-01-18 19:54:05.350,21207
2018-01-18 19:54:07.355,20180
2018-01-18 19:54:09.375,17411
2018-01-18 19:54:11.370,26212
2018-01-18 19:54:13.375,26678
2018-01-18 19:54:15.375,13013
2018-01-18 19:54:17.465,17888
2018-01-18 19:54:19.460,28897
2018-01-18 19:54:21.460,36786
2018-01-18 19:54:23.460,46849
2018-01-18 19:54:25.465,69105
2018-01-18 19:54:27.465,69687
2018-01-18 19:54:29.465,71957
2018-01-18 19:54:31.585,63639
2018-01-18 19:54:33.575,67226
2018-01-18 19:54:35.575,36137
2018-01-18 19:54:37.575,39696
2018-01-18 19:54:39.575,77018
2018-01-18 19:54:41.580,77339
2018-01-18 19:54:43.580,75923
2018-01-18 19:54:45.585,68784
2018-01-18 19:54:47.585,72517
2018-01-18 19:54:49.585,76574
2018-01-18 19:54:51.590,77089
2018-01-18 19:54:53.610,64827
2018-01-18 19:54:55.610,26026
2018-01-18 19:54:57.615,44699
2018-01-18 19:54:59.670,64577
2018-01-18 19:55:01.630,65337
2018-01-18 19:55:03.630,67406
2018-01-18 19:55:05.675,69788
2018-01-18 19:55:07.660,68760
2018-01-18 19:55:09.785,65970
2018-01-18 19:55:11.805,75550
2018-01-18 19:55:13.775,48515
2018-01-18 19:55:15.775,38021
2018-01-18 19:55:17.800,49633
2018-01-18 19:55:19.805,61985
2018-01-18 19:55:21.805,72714
2018-01-18 19:55:23.805,73771
2018-01-18 19:55:25.810,72722
2018-01-18 19:55:27.810,70368
2018-01-18 19:55:29.820,70913
2018-01-18 19:55:31.820,56668
2018-01-18 19:55:33.825,46358
2018-01-18 19:55:35.855,47187
2018-01-18 19:55:37.855,54729
2018-01-18 19:55:39.855,40861
2018-01-18 19:55:41.960,69927
2018-01-18 19:55:43.960,73574
2018-01-18 19:55:44.20,0
