Time,Intermediate KPI
2018-01-18 20:01:09.890,
2018-01-18 20:01:13.295,38106
2018-01-18 20:01:15.260,40594
2018-01-18 20:01:17.260,57845
2018-01-18 20:01:19.275,52096
2018-01-18 20:01:21.275,60179
2018-01-18 20:01:23.280,63718
2018-01-18 20:01:25.280,56524
2018-01-18 20:01:27.280,50026
2018-01-18 20:01:29.285,43468
2018-01-18 20:01:31.290,76502
2018-01-18 20:01:33.285,66025
2018-01-18 20:01:35.290,23085
2018-01-18 20:01:37.295,33012
2018-01-18 20:01:39.320,51475
2018-01-18 20:01:41.315,70547
2018-01-18 20:01:43.320,73752
2018-01-18 20:01:45.345,76718
2018-01-18 20:01:47.345,73372
2018-01-18 20:01:49.345,64985
2018-01-18 20:01:51.345,72830
2018-01-18 20:01:53.350,72295
2018-01-18 20:01:55.355,30074
2018-01-18 20:01:57.355,27208
2018-01-18 20:01:59.375,50502
2018-01-18 20:02:01.375,54821
2018-01-18 20:02:03.375,59599
2018-01-18 20:02:05.375,45665
2018-01-18 20:02:07.380,69841
2018-01-18 20:02:09.380,77240
2018-01-18 20:02:11.385,76633
2018-01-18 20:02:13.385,65163
2018-01-18 20:02:15.385,30325
2018-01-18 20:02:17.480,30170
2018-01-18 20:02:19.455,62790
2018-01-18 20:02:21.460,65656
2018-01-18 20:02:23.460,68178
2018-01-18 20:02:25.460,64437
2018-01-18 20:02:27.465,54079
2018-01-18 20:02:29.465,63217
2018-01-18 20:02:31.470,62207
2018-01-18 20:02:33.470,59255
2018-01-18 20:02:35.470,27671
2018-01-18 20:02:37.475,33210
2018-01-18 20:02:39.475,70398
2018-01-18 20:02:41.475,73333
2018-01-18 20:02:43.480,65797
2018-01-18 20:02:45.480,62027
2018-01-18 20:02:47.485,55625
2018-01-18 20:02:49.490,57292
2018-01-18 20:02:51.490,49305
2018-01-18 20:02:53.490,46214
2018-01-18 20:02:55.490,18780
2018-01-18 20:02:57.495,35331
2018-01-18 20:02:59.500,53733
2018-01-18 20:03:01.500,61266
2018-01-18 20:03:03.510,67068
2018-01-18 20:03:05.505,57605
2018-01-18 20:03:07.505,58972
2018-01-18 20:03:09.505,60956
2018-01-18 20:03:11.510,63187
2018-01-18 20:03:13.515,53683
2018-01-18 20:03:15.515,31799
2018-01-18 20:03:17.515,58731
2018-01-18 20:03:19.515,42834
2018-01-18 20:03:21.520,72256
2018-01-18 20:03:23.520,76813
2018-01-18 20:03:25.520,68665
2018-01-18 20:03:27.520,76532
2018-01-18 20:03:29.595,69348
2018-01-18 20:03:31.665,74315
2018-01-18 20:03:33.670,60590
2018-01-18 20:03:35.665,40990
2018-01-18 20:03:37.695,31774
2018-01-18 20:03:39.690,61497
2018-01-18 20:03:41.690,70736
2018-01-18 20:03:42.755,0
